Vandalism001_x264.mp4,two people are standing with an electric saw to cut the pole,two men cut an electric pole with a saw,a pole is being vandalised with an electric saw,people vandalise a silver coloured pole with a saw,person in the blue jacket is cutting a pole with an electric saw
Vandalism002_x264.mp4,a man is trying to throw an object,man keeps throwing even after objects falls,another man enters and starts throwing too,both men are throwing the object,someone is throwing back the objects already thrown by two people
Vandalism003_x264.mp4,two kids are playing with their balls,two kids see two scooters parked on the road,two kids start pushing one scooter,two kids push the other scooter,the scooter falls when it is pushed 
Vandalism004_x264.mp4,black car rams into the traffic signal,traffic signal is being vandalized by driver,car keeps ramming the traffic signal,the car breaks all four barriers,the barrier is broken by the car from all sides
Vandalism005_x264.mp4,a man scratches the cars with some object,two cars are scratched by a man,a man vandalises two cars,the paint work of two cars is vandalized by a man,the parked cars are scratched by a man
Vandalism006_x264.mp4,a man is trying to break the door,the man tries to break the door with a fire extinguisher,man is breaking the door with a bag,a man is pushing the door with his leg,man is trying to open the door without the key
Vandalism007_x264.mp4,three men are trying to steal cars,one man is checking all the cars to steal,person is kicking the car to check it,the thieves are stealing cars,the three men want to steal cars parked on the road
Vandalism008_x264.mp4,two men enter a shop and vandalize it,one man breaks the glass window,person is seen throwing stuff at the shop,objects are thrown on the floor by the man,two men vandalise a shop and run away
Vandalism009_x264.mp4,three people are vandalising a store,one person tries to break the window,another person punches the window to break it,the window is being broken by some men,a group of three men are trying to break the window
Vandalism010_x264.mp4,customer misbehaves with staff,customer hits the staff at the counter,customer breaks the computers,man tries to vandalise the shop,customer vandalizes the counter since he is angry
Vandalism011_x264.mp4,man throws all three dustbins on the ground,two people on the other side of the road throw dustbins,police approaches the men for vandalism,police asks the men to pick up the dustbins,the people are seen picking up the garbage thrown by them
Vandalism012_x264.mp4,two men are vandalising the street,one person throws the machine on the footpath,the men run away after throwing,man throws the object at the corner of the road,street is being vandalized by people
Vandalism013_x264.mp4,three people break open the fence,people are stealing the statues,the men take away the show-piece,the christmas decoration is vandalized by three men,three people run away after stealing the statues
Vandalism014_x264.mp4,a man is seen breaking a barrier,the person pushes the barrier and breaks it,man is seen vandalizing the barrier,person wants to move ahead so he breaks the barrier,man walks away after breaking the barrier
Vandalism015_x264.mp4,one person with a hammer wants to vandalize the shop,man is waiting to vandalize the shop,the man breaks the glass,person tries to break the glass of the shop with a hammer,the man runs away after breaking the glass
Vandalism016_x264.mp4,a man comes in a white car,man comes out of the car and vandalizes the wall,person defaces the wall,the man fiddles with the camera,a man damages the camera
Vandalism017_x264.mp4,a masked man breaks a window,a man throws rock on the window,window glass shatters by a rock thrown by a man,a person breaks the glass frame by a rock,a masked guy vandalizes the window
Vandalism018_x264.mp4,a lot of people are running in the market,running people vandalise the market,customers are pushed away by running crowd,group of people ran across the market,a running group vandalizes the supermarket
Vandalism019_x264.mp4,man is writing something on the wall,person comes and writes inappropriate words on the wall,wall is defaced by one person,man vandalizes a wall,man walks away after vandalising the wall
Vandalism020_x264.mp4,drunk man vandalizes a vase,person climbs the stairs and breaks the vase,vase breaks into many pieces,man kicks the vase to break it,man runs away after breaking the vase
Vandalism021_x264.mp4,man is seen vandalising the lift,a man is playing with the lift wires,a person is messing up the lift settings,lift is being vandalized by a person,a guy is trying to vandalise the lift
Vandalism022_x264.mp4,some boys trash the memorial garden,men are seen vandalizing school property,the boys throw and break the memorial,people can be seen throwing things,men throw bricks on the roof
Vandalism023_x264.mp4,a boy in hoodie breaks car glass,a man is breaking the car window,the window pane of a car is being vandalized by a person,a person is vandalising the car windows,a man broke car windows by a rock
Vandalism024_x264.mp4,man is damaging the cars parked on the road,the man is scratching the sides of the car,person uses a metal chain to damage cars,person vandalises the cars with a chain,car is scratched by a man
Vandalism025_x264.mp4,security guard removes the machine from its place,the machine falls by the hands of the man,a man removes the machine from its place,the machine is thrown away by a man,the machine is being vandalized by the security guard
Vandalism026_x264.mp4,person comes and throws paint on the wall,wall is covered with white paint by the person,man defaces wall with paint,person can be seen vandalizing public property,a man splashes white paint on the wall
Vandalism027_x264.mp4,a man is throwing paint on the wall,a wall is being vandalised by a man wearing helmet,the wall is being painted weirdly by a person,a person is painting the wall weirdly,a person is degrading the wall by throwing paint
Vandalism028_x264.mp4,one person is defacing a car,man splashes paint over the car,white paint is poured on the car by a person,man vandalizes the car with white paint,person damages car
Vandalism029_x264.mp4,man is pasting stickers on the wall,stickers are used to deface the wall,man with yellow t-shirt is pasting stickers on the wall,person is seen pasting sticker without permission,wall is damaged by stickers
Vandalism030_x264.mp4,one man is kicking the dustbin,person can be seen taking the dustbin away,the man repeatedly punches and kicks the dustbin,two men are vandalising the dustbins,men vandalise the cctv camera as well
Vandalism031_x264.mp4,two men vandalise a shop,two men are throwing object in a shop,a shop is being destroyed by two men,two people are throwing objects across the shop,objects are being thrown in a shop by two men
Vandalism032_x264.mp4,two men break the car mirror,two people try to vandalize the car,man kicks the rear view mirror and breaks it,man walks away after breaking,car is broken by a man
Vandalism033_x264.mp4,men are throwing objects on the window,people are pouring paint on the floor,a man throws bricks on the roof,four men are vandalizing a house,men climb the walls to throw bricks
Vandalism034_x264.mp4,two people keep throwing object on the door,man is seen trying to break open the door,two people are trying to vandalize a house,the door does not break after repeated attempts,men use an object to break the door and enter the house
Vandalism035_x264.mp4,a kid spray paints the white wall,a white wall is being vandalised by a kid,a kid is painting the wall in a bad manner,a white wall is being vandalised by a kid,a kid uses spray paint to vandalise the wall
Vandalism036_x264.mp4,a man is vandalising the shop,a man is throwing all the things in a shop,a shop is being vandalised by a man,the items kept are being thrown by a man,a man disturbs are the items which were kept in a shop
Vandalism037_x264.mp4,a lot of people are running in the market,running people vandalise the market,customers are pushed away by running crowd,group of people ran across the market,a running group vandalizes the supermarket
Vandalism038_x264.mp4,a kid spray paints the white wall,a kid is vandalising the wall,a wall is being spray painted by a kid,a kid on cycle is vandalising the white wall,a kid is painting the wall using spray paints
Vandalism039_x264.mp4,a car is being vandalised by a person,a person is jumping on the car,a guy vandalises the car by jumping on it,one man is jumping on the front side of the car,a man is trying to break the front mirror of the car
Vandalism040_x264.mp4,two men are spray painting the door of a shop,a shop is being vandalised by two men,two guys are painting the door of the shop,two people vandalise the shop,a shop is being vandalized by a few men
Vandalism041_x264.mp4,a group of men are throwing dustbins,streets are being vandalised by a group of men,a few men are throwing objects on streets,the street is being messed by a group,dustbins are being vandalised by a few people
Vandalism042_x264.mp4,a kid spray paints the white wall,two kids are spray painting walls,walls are being spray painted by two kids,two kids vandalise walls,the walls are being vandalised by a few kids
Vandalism043_x264.mp4,a man is throwing alcohol on a car,a car is being vandalised by a man,the car is being scratched by a man,a man throws alcohol and scratches the car,a person vandalises the car
Vandalism044_x264.mp4,a man is throwing object on cars parked,parked cars are being vandalised by a person,a person is vandalising the parked cars,a person is throwing rocks and bricks on cars,a man breaks the car windows by throwing objects on it
Vandalism045_x264.mp4,two people break window of a shop,glass windows are being broken by two men,two person are vandalising the shop window,the shop window is being broken by two masked men,the glass door is broken by rocks threw by the men
Vandalism046_x264.mp4,two people on a bike spray paint the shutter,a shutter is being spray painted by two people,a shutter is being vandalized by two people,two people are vandalising the shutter of a shop,two riders are spray painting the shutter
Vandalism047_x264.mp4,a man breaks the rear view mirror of a car,a car mirror is being vandalised by a man,a car mirror was broken by a man,a guy is breaking the car mirror,a person is vandalising the car
Vandalism048_x264.mp4,two person are spray painting the wall,two kids are spray painting walls,walls are being spray painted by two kids,two kids vandalise walls,the walls are being vandalised by a few kids
Vandalism049_x264.mp4,a group of people vandalises a wall,a group of people are throwing paint on a wall to degrade the looks,the looks of a wall are being degraded by a few people,the wall is being vandalised by a few people,a few people are spraying paint on wall
Vandalism050_x264.mp4,two kids are throwing something on the car,something is being thrown on the car by two kids,two kids are vandalising a car,a car is being vandalised by two kids,two guys are pouring something on the car
