File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Robbery001_x264.mp4,two men in helmets rob a store,a man in orange helmet points a knife at the shopkeeper,two men try to rob the shopkeeper,shopkeeper pulls out a stick and chases the men,two men in helmets run away from the shop
Robbery002_x264.mp4,man in a hoodie robs a store,man points a gun at the shopkeeper,a store is being robbed by a man,shopkeeper puts money in a bag,a man in a hoodie robs money from the store
Robbery003_x264.mp4,man robs a store,a man pulls out a shotgun,man points a shotgun at the shopkeeper,the shopkeeper gives the man all the money,a man walks out of the store with the robbed money
Robbery004_x264.mp4,store is robbed by man in mask,a man points gun at shopkeeper,a person with a gun robs the store,the cashier takes out the money from behind the counter,a robber takes the money from the counter
Robbery005_x264.mp4,man in a blue hoodie robs a store,a man in hoodie points a gun at the cashier,a person with a gun asks for money,the cashier gives money to the robber,a person robs the shop for money
Robbery006_x264.mp4,armed robber walks into the shop,the robber points a gun at the shopkeeper,robber holds a man hostage,shopkeeper pulls out a bat to fight the robbers ,a fight happened between the shopkeeper and the robber
Robbery007_x264.mp4,a man in a hoodie walks in with a gun,the the cashier is robbed by an armed man,a man pulls out his gun to rob the store,the cashiers give robber all the money,the robber takes money from the shop
Robbery008_x264.mp4,three men in hoodies walk-in in a shop,the store is robbed by three men in hoodies,men having weapons try to rob the cash register,there is a fight between the shopkeepers and the robbers,a few robbers take the items from the store
Robbery009_x264.mp4,two men in jackets walk in with a gun,men point guns at the cashier to rob the place,the cashier moves away because of the thieves,a few men rob the store for money,a store is robbed by some armed men
Robbery010_x264.mp4,two men with guns rob the bank,a bank is robbed by armed men,a gun is being pointed at the cashier,the cashier gives robbers all the money,some robbers take money from the employee in bags
Robbery011_x264.mp4,the man in a helmet robs the shop,a man points a gun at shopkeepers,the person takes money from the shopkeeper,two men in helmets take the money from the shop,a store is robbed by two armed men wearing helmets
Robbery012_x264.mp4,the store is robbed by an armed man,man with the gun takes money from the cashier,man points his gun at the cashier,the cashier gives robber all the money,a robber walks out with all the money
Robbery013_x264.mp4,a man in black clothes robs a store,robber points a gun at the shopkeeper,shopkeeper opens the cash register for the thieves,robber robs the cash register,money is taken from the cash register by the robber
Robbery014_x264.mp4,three armed men in kurtas walk into a bank,a few men withdraw their guns,a few men point their guns at everyone to rob,robbers take the money from the bank,a bank is robbed by some armed men in white clothes
Robbery015_x264.mp4,two men in masks come to rob a bank,some people attack the cashier,robbers take the money from the shop,robbers leave with a blue bag full of money,a bank is robbed by some armed men in masks
Robbery016_x264.mp4,two men in helmets rob a store,man in the yellow helmet attacks the shopkeeper with a knife,two men try to rob the shopkeeper,shopkeeper pulls out a stick and chases the men,a fight happens between the shopkeeper and the robber
Robbery017_x264.mp4,man with a knife robs a store,a store is robed by a man in black clothes,robber points a knife at the shopkeeper,robbers robs the shopkeeper,the shopkeeper gives money to the robber
Robbery018_x264.mp4,two armed men in white walk into store,men point knives at the shopkeeper,the store is being robbed by some armed men,a few men take the money and products from the store,a fight happens between the shopkeeper and the robber
Robbery019_x264.mp4,two armed men in kurtas shoot at the shopkeeper,some men beat up the shopkeeper,a jewellery store is being robbed by three armed men,some men are robbing jewellery from the store,three men in kurtas rob a jewellery store using guns
Robbery020_x264.mp4,two men in kurtas walk into an ATM,robbers point a gun at the man,the robbers take money from a man at the atm,man in an ATM robbed by two armed men in kurtas,a person is assaulted by some armed robbers
Robbery021_x264.mp4,two men in hoodies rob a store,blue hoodie robber points a knife at the shopkeeper,a robber in a white hoodie takes money and products from the shop,shopkeeper is robbed by two armed men in white and blue hoodies,the robbers take money from the shopkeeper
Robbery022_x264.mp4,a man in blue jacket robs a woman,a man in blue jacket takes the woman's money in an ATM,man in a blue jacket points his knife at a woman,woman is robbed by a man in a blue jacket,a man wearing a blue jacket robs an ATM
Robbery023_x264.mp4,three men in caps rob jewellery store,some men are shooting at the glass,a jewellery store is being robbed by three armed men,men rob jewellery from the store,a few men vandalize and rob the jewellery store
Robbery024_x264.mp4,three armed men rob a hotel,a few men are pointing their guns at the staff,a hotel is robbed by armed men in kurtas,the robbers assault the hotel staff,a few robbers steal the money and assault people
Robbery025_x264.mp4,an armed robber walks into shop,a robber is pointing his gun at the shopkeeper,there is a fight between the robber and the shopkeeper,men inside the shop attack the robber,some men chase away the robber
Robbery026_x264.mp4,a group of men rob a jewellery store,some robbers walk into a jewellery store,robbers assault the shopkeepers,a jewellery store is being robbed by a group of men,some people rob jewellery from the shop
Robbery027_x264.mp4,two men in blue and one in grey jacket rob a store,a man in blue jacket points a gun at the people in the store,a store is being robbed by two armed men,a man in grey jacket assaults people ,a few armed men rob a store and assault people
Robbery028_x264.mp4,two men in blue and grey hoodie rob a bank,robbers are pointing their guns at the cashier,a bank is robbed by armed men,the cashier gives money to the robbers,some robbers run away with the money
Robbery029_x264.mp4,a black car pulls up near four men,four robbers walk out of a black car,robbers assault the men standing by,robbers take the package the men were carrying,four men are robbed while standing on the street
Robbery030_x264.mp4,two men in fluorescent vests rob the safe in the room,robbers are stealing the money from a safe,a few men in fluorescent vests take money from the safe,a safe is robbed by armed men in fluorescent vests,the robbers walk away with the robbed money
Robbery031_x264.mp4,two women give their purses and jewellery to the man pointing a weapon at them,two women are robbed by some men on a bike,rider points his weapon at a women and takes her belongings,two men on a bike pull up near standing women,robbers drive away with the stolen belongings
Robbery032_x264.mp4,man in a helmet robs a woman on the street,a man in helmet assaults a woman,some woman is attacked by a man wearing a helmet,man in a helmet steals woman's jewellery,man in a helmet rides away on a bike after robbing a woman
Robbery033_x264.mp4,robber in a camouflage jacket points a gun at the cashier,a store is robbed by an armed man,an armed man in a camouflage jacket robs a store,the cashier gives all the money to the robber,robber walks out of the store with all the money
Robbery034_x264.mp4,five armed men wearing helmets rob a jewellery store,jewellery store is robbed by five armed men,robbers point guns at people in the store,robbers fill jewellery in a bag,the robbers walk out of the shop with the stolen jewellery
Robbery035_x264.mp4,A few armed men walk into a store,armed men are pointing their guns at people in the store,a store is robbed by armed men,armed robbers rob a store,some armed men loot the shop and assault people
Robbery036_x264.mp4,armed robber in a black hoodie walks into a bank,an armed robber robs a bank,an armed robber points his gun at the cashier,robber takes money from the cashier,a bank is robbed by an armed robber in a hoodie
Robbery037_x264.mp4,a robber walks into the shop,a robber is assaulting the shopkeeper,a store is robbed,a robber steals the cash register,a robber runs out with the cash register
Robbery038_x264.mp4,two robbers on a scooter stop near two bystanders,some robbers get down from the scooter,robbers point their knives at the bystanders,robbers take money from the bystanders,two men are robbed while standing on the street
Robbery039_x264.mp4,a robber wearing black jacket walks into bank,the bank is being robbed by a robber in black,a robber points their weapon at the cashier,the cashier gives all the money to the robber,a robber walks out of the bank with the money
Robbery040_x264.mp4,man is standing on a grocery store counter to rob it,a grocery store is being robbed,a man robs a grocery store,the cashier opens the cash register for the robber,a robber takes money from the cash register
Robbery041_x264.mp4,armed men rob an office,the robber points his gun at a person,an office is robbed by armed men in black jackets,robbers take money from the desk,robbers in black jackets enter with guns to steal money
Robbery042_x264.mp4,a man in a hoodie and cap robs a fast food restaurant,a robber hands some note to an employee of the shop to rob them,a fast food restaurant is robbed,employee opens the cash register for the robber,the employee gives money to the robber
Robbery043_x264.mp4,two men one in a black and one in a white hoodie rob a restaurant,the robbers are pointing their weapons at the employee,black hoodie robber jumps over the counter,employee opens the cash register for the robber,the robbers take money from the cash register
Robbery044_x264.mp4,a man in black clothes walks into store,a store is being robbed by a man in black clothing,man steals money from the shopkeeper,a man points his weapon at the shopkeeper,the robber exits from the shop with the money
Robbery045_x264.mp4,a man in black mask robs a store,a robber points his gun at the cashier,a store is robbed by an armed robber in a black mask,robber takes money from the cash register,a robber runs out with the money from the register
Robbery046_x264.mp4,robber in an iron man mask is inside the jewellery store,the jewellery store is being robbed by an armed man in an iron man mask ,an armed robber points the gun at people in the shop,an armed robber dances in the store with a bag,an armed robber stands on the counter pointing a gun
Robbery047_x264.mp4,two armed robbers in black and white clothes walk into fast food restaurant,a robber in a white shirt point his guns at the cashier,a robber in a black shirt goes into the restaurant,robber in a white shirt hides his face,the cashier gives money to the robbers
Robbery048_x264.mp4,armed man in black hoodie and ski mask is assaulting someone,the robber is trying to get into the store,storekeeper blocks the gate while robber tries to come in,a robber in a black hoodie and ski-mask tries to rob a store,the robber is not able to enter the store
Robbery049_x264.mp4,three armed robbers in hoodies walk into a shop,the store gets robbed by armed robbers in black hoodies and masks,robbers point their guns at the shopkeeper,robbers steal money from the cash register,the robbers take all the money from the cash register
Robbery050_x264.mp4,three men run towards a car,a car is being robbed by three men,two men break the locks of the car,a few men forcefully open the car doors,some people rob the belongings from the car
Robbery051_x264.mp4,two armed men rob a store,a robber is waving his gun while an accomplice steals from the store,robbers wearing read and black hoodies steal from the store,robbers break into and steal from a jewellery store,some men rob the store holding the cashier at gunpoint
Robbery052_x264.mp4,armed men rob a grocery store,two robbers are stealing from the store,two men wearing black clothes rob a store,some men with guns rob the supermarket,a few men with guns rob the supermarket
Robbery053_x264.mp4,a man is mugged at night,a robber is stealing from a man at gunpoint,thief points his gun at a person,a mugger steals bags and money from a man,the man gives his bags to the thief holding a gun
Robbery054_x264.mp4,a man robs jewellery store,a robber is stealing from the cashier,robber steals at gunpoint,the cashiers gives jewellery to the robber,person in a black outfit robs the store
Robbery055_x264.mp4,two robbers steal from the person,men with guns commit robbery,men wearing grey and white clothes try stealing at gunpoint,a person is giving some things to the robbers with guns,a person was robbed by some thieves with guns
Robbery056_x264.mp4,three men steal from the bank,three men with guns rob a bank,men with guns threaten the security guard at the bank,"men wearing grey, blue, and black outfits rob a bank",some armed men rob the bank
Robbery057_x264.mp4,an armed person robs the store at night,man wearing a black outfit commits a robbery,a store is robbed by a man with a gun,a person steals from the cashier,the cashier gives things from the store to the thief
Robbery058_x264.mp4,a robber steals from the cashier at the supermarket,a thief robs the store at gunpoint,a robber steals from the supermarket,the thief threatens the cashier with a gun,the supermarket is robbed by a man wearing black clothes
Robbery059_x264.mp4,two men steal from the shop,a few men with guns are committing a robbery,two men wearing black clothes rob a grocery store,some armed men rob a store,the store is robbed by men with guns
Robbery060_x264.mp4,robbers threaten the cashier with a gun,three men are robbing a store,a few men wearing black outfits steal from the store,three men rob the cashier at gunpoint,the store is robbed by three armed men
Robbery061_x264.mp4,a few people steal from the shop,a robber beats up the cashier of the store,the supermarket is robbed by some men,two thieves steal from a supermarket,some men wearing black and white clothes rob a store
Robbery062_x264.mp4,some men commit a robbery,two men with guns are robbing a place,armed men wearing yellow and black steal from the people,some men commit a robbery at gunpoint,the place is robbed by a few armed men
Robbery063_x264.mp4,a few thieves are mugging people at night,some people on bikes are stealing at night,some people are robbed by armed bikers,biked men steal at gunpoint,a few men wearing black outfits rob on bikes
Robbery064_x264.mp4,a person steals from the store,a man wearing a black outfit is committing a robbery,a supermarket is robbed at gunpoint,man with a gun robs a store,the thieve robs a store while holding a gun
Robbery065_x264.mp4,armed men rob a bank,some people wearing black and white clothes rob a bank,man with a gun threatens the clerks,a bank was robbed by men with guns,the bank is robbed at gunpoint
Robbery066_x264.mp4,a man tries to rob a drive through,a person in a black outfit is trying to steal,a drive-through store is almost robbed,a thief jumped through a window to rob,a failed robbery attempt by a man wearing black clothes
Robbery067_x264.mp4,the thief steals from the cashier,a robber is beating up the cashier,man wearing black clothes steals from the cashier,the cashier gets beaten up by a robber,a robber wearing black clothes steals from the cashier
Robbery068_x264.mp4,the robbers steal from a grocery store,the supermarket is robbed by two men,two thieves are robbing a supermarket,two men wearing black clothes steal from the shop,a store is robbed by two men in black clothes
Robbery069_x264.mp4,three men rob a shop,armed robbers are stealing from a store,a supermarket is robbed my some masked men,a few men wearing masks rob the grocery store,the thieves rob the store at gunpoint
Robbery070_x264.mp4,"thieves entered the shop, broke the glass and then stole everything","glass cupboards were broken in by thieves, who then stole everything",many robbers looted a shop and broke all the glass chambers,a shop was looted by thieves who broke the glass,the glass chambers were broken using hammer by thieves who stole everything
Robbery071_x264.mp4,a man tries robbing the cashier but ran away,thief with a gun is robbing the cashier when police walks in,robber steals from a supermarket,an armed thief robs the cashier and a police woman comes,the store was being robbed by some armed man but fails
Robbery072_x264.mp4,a person is being mugged at night,some thieves with guns are robbing a man,two men on a scooter mug a pedestrian,a man gets robbed by thieves with guns,men on scooter rob a man
Robbery073_x264.mp4,a few men are robbing a store and shooting at the police,store is being robbed by some people,four men with guns steal from a store,four men with guns beat up a security guard,store is robbed by four men with guns and shoot a policeman
Robbery074_x264.mp4,a man tries to rob the shop,the thief breaks down the door of the store,a man throws a brick through the door of the store,the store door is broken down by a thief,a man tries to break the door of the store
Robbery075_x264.mp4,the thieves steal from a bank,men with guns commit a robbery,two men with guns steal from a bank,a bank is robbed by men with guns,a few armed men steal from the bank
Robbery076_x264.mp4,a thief on the scooter snatches the chain,woman's chain is being snatched by a man on the scooter,two men on a scooter snatch a woman's chain,men on a scooter steal some woman's jewellery,a woman's jewellery is stolen by some men on scooter
Robbery077_x264.mp4,a thief is robbing the store,man with a gun steals from the shop,an armed man threatens the cashier,a store gets robbed at gunpoint,the cashier was threatened by holding a gun
Robbery078_x264.mp4,the robber steals from the store,man with a gun steals from the shop,armed man steals from the grocery store,a man with a gun robs the store,the store is robbed by an armed man
Robbery079_x264.mp4,a robber steals from the shop,man with a gun steals from the shop,an armed man steals from a grocery store,a man with a gun robs the store,the store is robbed by an armed man
Robbery080_x264.mp4,masked thieves are stealing something from a person,robbers beat up a man and then steal from him,a man is beaten up by thieves and is then robbed,a person is being robbed by thieves in mask,some robbers in masks rob a person
Robbery081_x264.mp4,a few men rob a grocery store,two men beat up the cashier,two men in black clothes steal from the store,the supermarket is robbed by men wearing black outfits,the cashier got beaten up by two robbers
Robbery082_x264.mp4,some men rob a shop,robbers beat up a man and then steal from him,some men steal a vehicle from a person,a man gets beaten up by some thieves,thieves steal from a man on the street
Robbery083_x264.mp4,a few men rob a grocery store,a store is being robbed by men,some men wearing black outfits steal from a supermarket,a few thieves rob the store,two men in black outfits rob a store
Robbery084_x264.mp4,couple of men rob a shop,three men commit a robbery,men armed with swords and hammers steal from the store,armed men commit a robbery,men wearing black and white clothes rob a store
Robbery085_x264.mp4,two men rob a store,two armed men commit robbery,two men with guns rob a store,two men wearing black outfits rob a store,the store is robbed by two armed men
Robbery086_x264.mp4,a man with gun robs the grocery store,a grocery store robbed by a man holding a gun,man with a gun threatens the cashier,the cashier is threatened by a man with a gun,the supermarket is robbed by a man in black clothes
Robbery087_x264.mp4,a man with a knife robs the store,a grocery store robbed by a man holding a gun,man with a knife threatens the cashier,the cashier is threatened by a man with a gun,the supermarket is robbed by a man in an orange hoodie
Robbery088_x264.mp4,a thief tries to rob the store,a thief attacks the store cashier,a thief breaks into the store,the cashier gets in a fight with the thief,the thief and the cashier have a fist fight
Robbery089_x264.mp4,a person steals a woman's purse,man in a blue helmet steals the purse,a man steals a purse on the street,a woman's purse is stolen by a man on the street,a woman's purse is stolen by a man in the blue helmet
Robbery090_x264.mp4,two men rob a bank,a bank is being robbed by two men,some men wearing black outfits steal from a bank,some men threaten a bank clerk to rob the place,two men in black clothes rob a bank
Robbery091_x264.mp4,a man is robbing the cashier,man in a black outfit robs from the store cashier,a man with a gun robs from the store cashier,the cashier is threatened by a man with a gun,an armed man robs the store
Robbery092_x264.mp4,a few men steal from the supermarket,two men steal from a grocery store,two men wearing black and blue clothes steal from a store,the store is being robbed by two men,the store is robbed by men wearing black and blue clothes
Robbery093_x264.mp4,the person steals from the child and runs away,a person in the store robs a child,man wearing a black outfit snatches things from a kid,a child is robbed by a man in black clothes,a person in the store robs the child
Robbery094_x264.mp4,couple of men steal from the shop,two men with guns rob a store,two men wearing black rob a store,the tore is robbed by two men with guns,the store is robbed by two men in black clothes
Robbery095_x264.mp4,men take hostages into a building,thieves take the man into a building at gunpoint,thief with a gun forces man to enter a building,a man is taken into a building by a thief holding a gun,a few men with guns take the hostages in a building
Robbery096_x264.mp4,couple of men rob the people inside a vehicle,three men rob people in a car and drive away,men with guns rob people in a car,men wearing white vests rob a car,people in a car are robbed by some armed thieves
Robbery097_x264.mp4,two armed people rob a store,two men with guns rob a store,men threaten the cashier with a gun,the cashier is threatened by two men holding guns,the store is robbed by two men in black outfits with guns
Robbery098_x264.mp4,a man robbed a grocery store,man steals from the cashier counter,man wearing black clothes steals from the supermarket,the cashier is robbed by a man having a pistol,a person wearing black clothes steals from a super market
Robbery099_x264.mp4,two men rob a store,grocery store is being robbed by two men,two men with guns rob a store,the cashier is threatened by some men with guns,men with guns steal from the cashier
Robbery100_x264.mp4,two men steal from a shop,man with a gun threatens the cashier,two men in black and white rob a store,the store is robbed by two men with guns,the cashier is threatened by a man carrying a gun
Robbery101_x264.mp4,guy in a blue hoodie robs a store,guy in a blue hoodie takes money from the store,guys threaten people with guns and take the money,a guy takes money from the cashiers,guy in a blue hoodie pulls out his gun on the cashiers
Robbery102_x264.mp4,guy tries to rob a woman and gets beaten up,the person fails at robbing a woman and is saved by his partner,a person on a bike rushes to steal a woman’s purse,two people on bike try to rob a woman as soon as she gets out of her car,a woman getting out of her car defends herself from getting robbed
Robbery103_x264.mp4,a male tries to slip into the cashiers desk and rob a store,guy fails at robbing the store after being stopped by its owner,man enters the cashier’s desk and robs the store,man in a black hoodie tries to rob the store,the guy escapes after trying to rob the store and failing
Robbery104_x264.mp4,one thief is robbing a man,a man is being robbed by a thief,a person hits another person and takes all their money,a guy is fighting with a robber,a fight is going on between the thief and a person
Robbery105_x264.mp4,two robbers are chased out by the shop owner,one robber takes money from the cashier,shop owner gets the gun from inside and chases the robbers,robber tries to steal the money from stores,robbery fails as the owner comes out with a gun and chases the robbers
Robbery106_x264.mp4,two robbers came on a bike,they rob the cell phone from a man by showing a gun,robbers rob the mobile phone in an open area,man was talking on the mobile phone when the robbers came in,one robber takes the gun out of his pocket
Robbery107_x264.mp4,two robbers came on a bike,they try to rob the driver inside the car parked,robbers used a gun for robbing,the robbery failed as the car started and moved fast,a few robbers were running behind the car
Robbery108_x264.mp4,one robber tried to rob a shop,he uses a knife on an old lady to threaten the shop owner,the shop owner beats the robber using a stick,the robbery failed as the owner chases the robber,the robber ran away from the shop
Robbery109_x264.mp4,a man with a knife loots a shop,a shop is being robbed by a robber,a thief is stealing items from a shop,a robber steals all the money from a shop,thief points a knife at the cashier and takes the money
Robbery110_x264.mp4,robber comes to the shop like a purchaser,the robber asks for two mobiles from the shop owner before robbing it,robber shuts his mouth using a cloth,he ran out of the shop with the mobile phones,the robber pretended to be a customer before robbing
Robbery111_x264.mp4,a group of robbers rob a jewellery shop,one robber uses a gun to threaten the shop owner,the robbers steal all the jewels in the showcase,there were six robbers in the group,robbers came inside the shop like customers before robbing
Robbery112_x264.mp4,three robbers try to rob a house,men and women get in a house to rob it,the robbers run back fast as they were chased by a gun man,the robbery failed as they were chased back by the owner having a gun,the robbers came in a car to rob the house
Robbery113_x264.mp4,a man hits the guard in a shop and steals money,a thief steals money from a person in the shop,a person is robbed in the shop,a robbery took place in the shop,the robber hits a person and takes his money
Robbery114_x264.mp4,the crowd rushes as someone tries to rob the place,there is chaos due to the robbery,a robber tries to rob a place and the crowd panics,everyone in the room ran away when a thief tried to rob,people begin running when a man tries to rob the place
Robbery115_x264.mp4,two robbers robs the shop,robbers take money from the cashier,robbers use a gun for robbery,one robber enters the cashier’s cabin and takes all the money,robbers cover people’s face using a white cloth
Robbery116_x264.mp4,one robber tries to enter the house,the owner was with a dog when the thief came in,a dog jumps on the robber,the robber runs away after a dog jumps on him,the robber tried to hit the owner
Robbery117_x264.mp4,a group of female robbers enter a hospital,one lady robber uses a gun for robbery,robbers chase everyone to outside the hall,they steal money from the cash counter,a female robber uses gloves before opening the cash drawer
Robbery118_x264.mp4,robber uses a big gun for robbery,an armed robber enters a shop in a petrol pump,the burglar asks the cashier to fill the bag with cash,the cashier fights with the robber at the shop,the robbery fails and the robber runs out
Robbery119_x264.mp4,robber forces the cashier to pack the money,guy in a black dress steals from the store,a person threatens the cashier to give him money,the cashier is forced to give all the money under the fear of getting shot,a robber walks into a store and forces the cashier to fill up money
Robbery120_x264.mp4,two robbers take money from the cash counter,robbers use a gun and threaten the cashier,guys takes money from the cash counter forcefully,the cashier runs away from the cash counter on seeing a gun,a robber jumps onto the cash counter and takes the money
Robbery121_x264.mp4,robber takes money from the cash counter,guy with black cap steals the cash counter,robber enters the cashier’s place and takes the money kept there,a robber acts like a customer to gain access,the cashier runs away when a robber entered the cash counter
Robbery122_x264.mp4,robber steals from a shop,robber uses the gun in front of the cashier,the cashier hits the robber,robber takes the shop items by holding a gun,a robber in a grey outfit robs the shop
Robbery123_x264.mp4,a robber steals a laptop from the counter,robber uses knife to threaten the cashier,robber tries to pull the laptop from the cashier ,the robber shows a knife to the cashier,the guy was using a cap to cover his face
Robbery124_x264.mp4,an armed robber fills the bag with items from the store,robber uses his gun for the robbery,a robber steals the shop items in a bag,the shop keeper fights with the robber,the robber forces the shopkeeper to give cash
Robbery125_x264.mp4,robbers came in the store as customers,robber with a helmet hits the lady and steals items from the shop,two robbers steal from the shop,robbers run away after taking the shop inventory,the shop owner was beaten by the robbers
Robbery126_x264.mp4,a man fights with a girl to steal her money,a robber tries to steal money from the desk,a thief fights with the cashier to take the money,a woman fights with the thief ,a shop is being robbed
Robbery127_x264.mp4,a thief tries to steal money but is beaten down by good people,a few people catch the thief and start beating him,a thief tries to steal something but gets caught,something is being stolen by the thief but he gets caught,two people beat the robber
Robbery128_x264.mp4,a robber hits the cashier to steal all the money but fails,two men fight to protect the money in the shop,a robber tries to beat the man and steal his money from the shop,a robbery occurs in a shop and the cashier prevents it,a robber tries to steal money from the shop but gets beaten up
Robbery129_x264.mp4,a man points a knife at the cashier and steals the money,a shop is robbed by a person with a knife,a thief steals the money from a shop by pointing a knife,a thief points a knife and steals the money,the shop money is stolen by a robber
Robbery130_x264.mp4,a man with a gun beats the person and takes all the shop money,a robbery occurs in the shop,a person steals all the shop money,all the money is stolen by a robber,a robber beats the cashier and steals all the money
Robbery131_x264.mp4,a thief points a gun at a woman and takes all the money,a robber steals all the money from the shop,a person tries to steal all the money in the shop,a shop is being robbed by a person with a gun,a person with gun tries to rob the shop and take the money
Robbery132_x264.mp4,a person tries to steal all the money in the shop,a shop is being robbed by a person with a gun,a person with gun tries to steal money,a thief points a gun at a woman and takes all the money,a robber steals all the money from the shop
Robbery133_x264.mp4,two men beat a person and steal his money,a person is being robbed by two armed people,two people rob a person in the shop and shoot him,two robbers steal the money from the person and shoot him,a person is beaten by two people and is then robbed
Robbery134_x264.mp4,a few men rush in the market and steal everything at gun point,a gang of boys loot a shop,a shop is being looted by a group of men,a group of men with guns steal items from the shop,a shop is robbed by a few people
Robbery135_x264.mp4,a man wearing helmet points a gun at the person but is caught by the people,the thief wearing helmet is caught by public and is beaten in the shop,the shop customers beat the thief who was pointing a gun,a robber with gun was beaten by public,a person was being robbed by a person but he catches the robber instead
Robbery136_x264.mp4,a robber forces the women to give them her money,a shop is being robbed by a thief,a thief robs the shop,a woman is forced to give all the money in the shop,the girl is forced by a robber to give all the money
Robbery137_x264.mp4,two people with a gun loot a shop,two boys with a gun steal the money from the shop,a shop is robbed by two boys with guns,two people rob all the shop money,the thief points a gun at the cashier and takes all the money
Robbery138_x264.mp4,a thief beats an old man and takes his money,an old man is beaten by a robber who then steals all his money,all the money of an old man is stolen by a thief,a robber hits an old man and takes the money,the old man is robbed by a thief
Robbery139_x264.mp4,a thief points a gun and takes all the money,a robber steals all the money from the shop,a person tries to steal all the money in the shop,a shop is being robbed by a person with a gun,a person with gun tries to steal money
Robbery140_x264.mp4,a thief points a knife at a the cashier and takes all the money,a robber steals all the money from the shop,a person tries to steal all the money in the shop,a shop is being robbed by a person with a knife,a person with knife tries to steal money
Robbery141_x264.mp4,two masked men steal the money from the person,two robbers steal from the shop,a shop is being looted by two people,the cashier is forced to give money to two people,two thieves rush into the shop and steal the money
Robbery142_x264.mp4,a thief with a gun takes all the money from the old man in the shop,a shop is being robbed,the old the cashier is forced to give all the money to robber,an old man is forced to give money on gun point,a robber with a gun steals the money from the shop
Robbery143_x264.mp4,a thief points a gun and takes all the money,a robber steals all the money from the shop,a person tries to steal all the money in the shop,a shop is being robbed by a person with a gun,a person with gun tries to steal money
Robbery144_x264.mp4,two men on a bike steal a woman's handbag,two robbers steal a handbag of a woman,an old woman is robbed by two men,two thieves on a bike steal a handbag,the bikers steal a handbag from a woman
Robbery145_x264.mp4,two armed men steal shop items,two armed robbers rob a shop on gun point,a shop is being robbed by two gun men,a person in white hoodie steals everything in the shop with his accomplice,two men steal from a shop at gunpoint
Robbery146_x264.mp4,a man tries to steal in the metro but is caught and beaten,the robber points a gun but is caught afterwards,people in the metro train catch the robber and beat him,a thief is beaten in the metro train,a man with a gun tries to steal but is caught
Robbery147_x264.mp4,two armed men steal from a shop,two people with guns steal from a shop,a shop is being robbed by two men,two robbers point a gun and take the money,the shop money is stolen by two robbers
Robbery148_x264.mp4,a man on cycle steals the person's phone and drove away,a mobile is stolen by a cycle rider,a robber steals a person's mobile,a thief on a cycle steals a mobile phone,the mobile phone of a standing person is stolen by a robber
Robbery149_x264.mp4,a thief tries to steal all the money from the shop but is beaten,two men have a fight to protect the shop money,a robber hits the cashier to steal the money,the cashier hits the robber to make him run away,the shop is being robbed by a person
Robbery150_x264.mp4,two thieves on a bike steal from a woman,two bikers rob a woman and abuse her,two men come on a bike and steal from a woman,a woman is robbed by two bikers,the woman was forced to give her belongings to the bikers
